,building_name,building_price,building_beds,building_baths,redfin_estimates,building_location,property_type,property_size,property_story,walking_score,transit_score,bike_score,building_description,building_website
119,"""Unit at 145 Huntington St""","""$2,598,000""","""3Beds""","""2.5Baths""",NA,"""Brooklyn,NY""","""Condo/Co-op""",NA,—,"""95""","""91""","""89""","""Opportunity to own one of Carroll Gardens largest high-end ground up new construction condominiums. This thoughtfully designed and meticulous building is set on a quiet and well-preserved block in one of Brooklyn's most desirable neighborhoods. This first floor sun-drenched GARDEN DUPLEX apartment features 3 bedrooms, 2.5 bathrooms, huge outdoor space, 9  ft high ceilings and over 2,400 sq. ft. of living space which opens up to your own exclusive 500 sq. ft. backyard. This home combines a flexible indoor/outdoor living concept with amazing designer finishes. The custom designer kitchen is a chef's dream featuring top of the line appliances including Sub Zero refrigerator, Viking stove, convection Viking microwaves, Bosch dishwasher and wine refrigerator. White Oak floors flow throughout this spacious home with 2.5 beautiful European tiled baths with radiant heated floors, high end ductless air conditioner, tank less water heater, custom European hot water radiator, in-unit washer and dryer, storage in the basement, virtual doorman and much more. Private parking option available! This home is conveniently located in the midst of world class shopping and dining on Court and Smith Street. Currently zoned for P. S. 58 and is one block from the F/G trains and Brooklyn Battery Tunnel making this a very easy commute and access to Manhattan. This property is by far one of Carroll Gardens newest Gems! Don't miss out on this limited opportunity.""",https://www.redfin.com/NY/Brooklyn/145-Huntington-St-11231/home/173641060
120,"""Unit at 117 E 57th St""","""$1,900,000""","""2Beds""","""2Baths""",NA,"""New York,NY""","""Condo/Co-op""","""1,208""","""57""","""99""","""100""","""83""","""Enjoy panoramic city views from this perfectly designed, turn-key 2 bedroom, 2 bathroom corner home located in one of New York's finest condominiums, The Galleria. The master bedroom suite features oversized windows with beautiful eastern views. There is a private dressing room with plenty of storage and a separate vanity and the master  bathroom has a separate stall shower. The second bedroom / guest room also works well as a home office and is well separated from the master bedroom with an en-suite bathroom. The windowed kitchen is beautifully appointed and has top of the line appliances.    One of the premier full service condominiums the Galleria's amenities include 24 hour doorman and elevator starters, a concierge desk, direct access to an interior 24 hour garage and a resident manager. There is a state of the art windowed fitness center and the famous Sky Terrace located on the 54th floor with its luxurious roof lounge and terrace offers butler service and the City's most spectacular views . Located just steps from Park Avenue and at the crossroads of Midtown East and the Upper East Side, the Galleria is convenient to Central Park, some of the City's finest restaurants and best shops.""",https://www.redfin.com/NY/New-York/117-E-57th-St-10022/home/45278319
121,"""175 Zoe St Unit 5s""","""$275,000""",NA,"""1Bath""","""$270,221""","""Staten Island,NY""","""Condo/Co-op""","""481""","""7""","""64""","""71""","""66""","""Public Remarks: Updated Split Level Contemporary Style Condo in the exclusive and desired 175 Zoe St Building!! This Beautiful Studio/Apt offers gorgeous Kitchen with granite countertops, Island, stainless steel appliances, fully tiles beautiful bathroom, Custom built closet, Hardwood Floors and High hats lights. Bright and Airy living room with large windows which provide lots of natural light. Walk out into a nice size balcony to enjoy the view. Conveniently Located minutes to Jefferson Ave train station which takes you to SI Ferry, Close to Staten Island University Hospital  &  All the shopping and restaurants on Hylan Blvd. and Richmond Rd. Laundry on site. Included in your maintenance is gas, water, outside maintenance, snow removal, &  on site super. Vacant and Ready for a New Owner!!!""",https://www.redfin.com/NY/Staten-Island/175-Zoe-St-10305/unit-5S/home/56128535
122,"""0 Sheldon Ave""","""$225,000""",NA,NA,"""$224,567""","""Staten Island,NY""","""Vacant Land""",NA,—,"""33""","""50""","""32""","""Public Remarks: Beautiful dead end street within the Sweetbrook Blue Belt.""",https://www.redfin.com/NY/STATEN-ISLAND/SHELDON-AVE-10312/home/56034702
123,"""78 W 132nd St""","""$2,200,000""",NA,NA,NA,"""New York,NY""","""Multi-Family (2-4 Unit)""","""2,817""","""3""","""99""","""100""","""71""","""The Perfect 'House Hack' Opportunity in the Heart of Historic Harlem ? Located in one of the most historically and culturally rich neighborhoods; 78 West 132nd Street is the quintessential townhome to 'House Hack'; a legal 3-family with the opportunity to move in immediately and make an income that helps pays off your mortgage. Built in 1880, this property has the bones and square footage to truly make your own. Measuring 18 x 52 with a fabulous owner's triplex comprising of the parlor, garden  &  cellar levels plus, a private backyard of over 800 square feet; and two income-producing units that can generate income; the building makes well laid out use of the residential square footage. It truly has the perfect bones for the opportunity to envision and personally design according to taste. Features:?  *  Approx. 3,477 sq ft   *  Over 800 sq ft of private outdoor space  *  High Ceilings  *  Bay Windows  *  Original wood flooring  *  Recently updated bathroom  *  Boiler system replace in 2018  *  Washer/Dryer hook up in cellar  Nestled right between 125th street and 135th street off of Lenox Blvd you are centrally located near the most well renowned restaurants, lounges  &  shopping destination Harlem has to offer; including the new Whole Foods. Some neighborhood favorites include: Marcus Samuelson's Red Rooster, Corner Social, Gin Fizz, &  Sylvia's just to name a few. Enjoy the many historical landmarks as well, including; the Tree of Hope and Astor Row Guesthouse. Exclusive to Harlem there's also City College of New York, The Schomburg Center for Research in Black Culture and the Harlem Hospital. A greatopportunity and time to get into Harlem!""",https://www.redfin.com/NY/New-York/78-W-132nd-St-10037/home/45299196
124,"""Unit at 205 Water St""","""$1,595,000""","""2Beds""","""2Baths""",NA,"""Brooklyn,NY""","""Condo/Co-op""","""1,090""","""9""","""98""","""100""","""89""","""Thoughtfully designed 2-bed 2-bath home with ONSITE PARKING SPACE featuring everything one might ask for. Exceptional quality with 5"" fumed white oak flooring, enormous black framed triple-paned casement windows and top of the line open kitchen showcasing gun-metal gray laminate cabinetry, polished Luce di Luna countertops  &  backsplash, panelized Sub-Zero refrigerator, Bosch dishwasher, Thermador oven  &  cooktop, and a 27-bottle wine cooler. The master suite includes a large bedroom with spacious walk-in closet, linen closet and en-suite bath with separate shower and double walnut vanities. Knock out features include Porcelanosa fittings  &  fixtures, polished white Carrara marble with Italian porcelain accents and Kohler accessories. The split layout provides a large, amply sized private second bedroom with a walk-in closet. Equipped with a Bosch washer/dryer, multi-zoned central A/C and both bedroom closets are custom ""California Closets"" with additional custom storage in the laundry closet. Monthly CC's for parking is: $62.87.  205 Water Street has become recognized as of the best full-service condos in DUMBO. Imagine a lobby with reclaimed wood from the Coney Island Boardwalk, repurposed railway tracks and poured concrete floors. Designed for sustainability, it is LEED Gold certified. This condominium has 65 stylish residences and numerous amenities including: an attentive 24-hour staff, residents' lounge (with bar), media room, two landscaped outdoor spaces (including a reflecting garden), state-of-the-art fitness center (with a Peloton), on-site indoor parking, refrigerated storage, bicycle storage and laundry room. The design of 205 Water Street was conceived to both complement and preserve the character of the DUMBO Historic Landmark District - a neighborhood with nineteenth and early twentieth century industrial architecture of varied and often monumental scale. Located in the quiet sweet-spot of DUMBO, only blocks from Main Street and Brooklyn Bridge Park, shopping, art galleries and trendy restaurants. Conveniently near F, A, C, trains one stop from Manhattan, Citi Bike station  &  East River Ferry/Water Taxi.""",https://www.redfin.com/NY/Brooklyn/205-Water-St-11201/home/40927216
125,"""Unit at 85 3rd St""","""$2,450,000""","""3Beds""","""2.5Baths""",NA,"""Brooklyn,NY""","""Condo/Co-op""",NA,—,"""92""","""100""","""87""","""A gorgeous new boutique condominium situated ideally between charming brownstone enclave Carroll Gardens and gritty, eclectic Gowanus, 85 Third Street is ready to call home. This immaculately designed new building offers three generous duplex homes, all with ample private outdoor space, oversized windows, and high-end finishes. Residence 2 is a huge 3 bed/2.5 bath duplex home, and a superb townhouse alternative. A private elevator takes you from the lobby to both levels of this home. The main floor has a large sunny living room open to, but perfectly separated from the chef's kitchen and dining area. The large L-shaped kitchen has an island and a HUGE window framing lovely views of neighboring brownstones. There is also a large terrace right off the kitchen ideal for al fresco dining. The bedroom are all on one level including the grand master bedroom with windowed dressing room and magnificently appointed 5 piece bath.  85 Third Street truly sets a new bar for boutique luxury homes. The building greets you with a stately faade of artisanal brick. Unit 2 and the Penthouse have keyed elevator access directly in to BOTH floors. There is central AC and heat with Nest controls, wide plank white oak floors, wooden Pella windows, 1.9' solid core doors, and washer/dryers. All units have ample northern and southern natural light. The kitchens have custom inset cabinetry, blue de savoie marble counters, Kohler fixtures, and integrated appliances by Thermador. The master bath has floor to ceiling marble tiling, while the secondary baths have hand crafted subway tiling.   Nestled on coveted Third Street, known for being extra wide and sunny, your new home is very close to both Smith and Court Street, and incredible new hotspots in Gowanus including Parklife, Threes Brewing, Dinosaur BBQ, and Royal Palms. This union of size, quality, and location make 85 Third Street an ideal place to call home.  85 Third Street: this is not an offering, the complete offering terms are in an offering plan available from the File No. CD200009""",https://www.redfin.com/NY/Brooklyn/85-3rd-St-11231/home/173640857
126,"""Unit at 171 Lexington Ave""","""$890,000""","""2Beds""","""1Bath""",NA,"""Brooklyn,NY""","""Condo/Co-op""","""870""","""5""","""96""","""100""","""90""","""Move right into mint this two-bedroom home in a boutique condominium with direct-keyed elevator entry and two private outdoor balconies. Enjoy an open living, kitchen and dining space with a beautifully planted dining balcony accessed by sliding glass doors from the living room. The sun splashed living room has southern and eastern exposure, oversized windows and tons of light all day. The stunning kitchen has ample cabinetry, marble countertops and a moveable island on wheels. It is a pleasure to prepare meals when your appliances are a Bertazzoni gas range and full-sized microwave oven, Fisher  &  Paykel refrigerator and a Bosch dishwasher. The primary bedroom overlooks verdant, well maintained gardens and has a lovely balcony where you could sit with a friend or enjoy a quiet read. The 2nd bedroom also overlooks gardens. The bathroom with its deep soaking tub is spacious. Other features are hardwood floors, custom Elfa organizational units in the primary bedroom closet and utility closets and a huge basement storage unit (4'6' x 9'4'). The in-unit Asko stacked washer/dryer is vented. 171 Lexington Avenue, a 5-unit condominium was newly built in 2015. Located in western Bedford-Stuyvesant near the border of Clinton Hill, close to excellent bars, restaurants, coffee shops, great shopping and trendy boutiques, along Bedford, Franklin, and Classon. Nearby you will also find yoga studios, a pottery studio and the YMCA with a pool. Close to subways, buses and Citi bike.""",https://www.redfin.com/NY/Brooklyn/171-Lexington-Ave-11216/home/108525998
127,"""Unit at 170 E 87th St""","""$1,595,000""","""2Beds""","""2Baths""",NA,"""New York,NY""","""Condo/Co-op""","""1,046""","""28""","""100""","""100""","""81""","""Welcome to W15G, a sun-filled, beautifully renovated two-bedroom, two bath home with open city views and southern exposures from every room. Located in the sought-after Gotham Condominium, this turn-key, xxx mint home is not to be missed, featuring brand new Kitchen and baths, generous floor plan, south facing terrace, ample closet space and light streaming in all day. The Kitchen is a chef's dream; completely gut renovated with brand new, top of the line appliances, custom cabinetry and beautiful Glassos countertops. The Living and Dining room, located off of the Kitchen, flow perfectly for both entertaining and comfortable everyday living. The Primary bedroom is incredibly spacious with a large walk in closet and renovated ensuite bath. The secondary bedroom, also well sized, has a customized closet and access to the second full bath. Throughout the apartment there are four additional closets, one of which has a W/ D hookup. The Gotham is a well-established, full-service Condominium. Amenities include a full-time doorman and concierge, health club with sauna, 80' salt water indoor swimming pool, resident lounge with catering kitchen and an outdoor terrace. Located in the sought-after neighborhood of Carnegie Hill with endless shopping and dining options, moments from Central Park, Carl Schutz Park, a number of celebrated museums, and easy access to the 4, 5, 6 and Q trains. A Whole Foods is located directly across the street and Fairway is down the block.""",https://www.redfin.com/NY/New-York/170-E-87th-St-10128/home/45292597
128,"""Unit at 42 -37 27th St""","""$795,000""","""1Bed""","""1Bath""",NA,"""Queens,NY""",NA,NA,NA,NA,NA,NA,NA,https://www.redfin.com/NY/Long-Island-City/42-02-27th-St-11101/home/160468679
129,"""Unit at 200 Riverside Blvd""","""$1,400,000""","""2Beds""","""2Baths""",NA,"""New York,NY""","""Condo/Co-op""","""1,099""","""46""","""94""","""100""","""68""","""Dazzling and Direct river views will greet you from oversized windows as you enter this two bedroom, two bath home apartment at   200 Riverside Boulevard. The apartment features two marble bathrooms, one of which is an en-suite with separate shower and soaking tub, and in-unit washer and dryer. 200 Riverside Boulevard is a full service, pet friendly condominium with wonderful amenities including a 24-hour door attendant, concierge, resident  super , fitness center with indoor heated pool, residents' game room and garage. The building has easy access to Riverside Park, and Lincoln Center. This apartment is a BEST BUY and is a great opportunity for the discerning buyer!""",https://www.redfin.com/NY/New-York/200-Riverside-Blvd-10069/home/45129650
130,"""Unit at 108 -49 Seaview Ave""","""$279,000""","""1Bed""","""1Bath""",NA,"""Brooklyn,NY""","""Condo/Co-op""",NA,—,"""35""","""68""","""64""","""Welcome home to Seaview Luxury Estates!  This one-bedroom condominium is in Canarsie's only gated waterfront community. Located on the third floor, this flexible layout condo is truly a gem. The open layout can easily adapt as the perfect space for intimate gatherings with the nearest and dearest. Let's not forget the wealth of sunlight that simultaneously soothes and mesmerizes anyone who walks into the space. Enjoy expansive use from your own balcony overlooking the luxury estates, including your very own parking spot which can be viewed from the unit. Seaview Luxury Estates is located in a quiet cul de sac facing Jamaica Bay with its own 24-hour dedicated security. The estates offer a plethora of amenities for relaxation, recreation, and entertainment. Indulge in the full-size swimming pool, tennis court, modern gym, and communal laundry room. Enjoy all the neighborhood has to offer such as Gateway Mall, Gateway Park, Shirley Chisholm Park, Seaview Park as well as easy access transportation including the Belt Parkway. Your new home awaits!""",https://www.redfin.com/NY/Brooklyn/108-Seaview-Ave-11236/home/173640846
131,"""Unit at 1 -3 Minetta St""","""$675,000""","""1Bed""","""1Bath""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""100""","""100""","""92""","""Situated on the coveted edge of charming West Village, this well-laid-out, high floor, one-bedroom apartment is available for the first time in years. Windows in every room allow for natural light in this apartment, which overlooks the lush, tree-filled serenity of the Minetta Triangle. The large pass-through kitchen flows nicely into the spacious living room and can accommodate a W/ D with board approval. The bedroom is large enough for a queen-size bed and there is ample space for storage with multiple closets throughout the apartment. This home offers the best in space and proximity to Washington Square Park, all of the best restaurants, shops, and transportation options.""",https://www.redfin.com/NY/New-York/1-Minetta-St-10012/home/173640844
132,"""Unit at 214 N 11th St""","""$995,000""","""1Bed""","""1Bath""",NA,"""Brooklyn,NY""","""Condo/Co-op""","""976""","""6""","""96""","""96""","""86""","""Everything you've been looking for! This beautiful penthouse one bedroom with a spacious private terrace is your perfect retreat. Step into a gracious foyer with ample storage and an oversized bath (with soaking tub!) and walk either upstairs to your massive bedroom loft and terrace or straight to the living area overlooking McCarren Park. This very special home with beautiful views throughout and large outdoor with plenty of room for grilling, dining and relaxing all spring, summer and fall. Interior features include hardwood floors throughout, stainless appliances, and a comfortable dining area. Upstairs the bedroom is large enough to use as both a bedroom and large home office or sitting area. Warehouse 11 is a full service condominium with a 24 hour attended lobby, enormous furnished and landscaped roof deck with park views, fitness center, yoga garden, children's playroom, and an ideal location just a few blocks from the newly revamped Bedford Avenue L train station and the waterfront. It is also one block away from McCarren park with it's two dog runs, farmer's market, and year round tennis center.""",https://www.redfin.com/NY/Brooklyn/214-N-11th-St-11211/home/40917421
133,"""Unit at 100 W 12th St""","""$499,000""",NA,"""1Bath""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""100""","""100""","""91""","""Spacious and quiet studio located in the heart of Greenwich Village. Residence 5B located at the Mark Twain building is tranquil, charming and bright. The apartment features hardwood floors, a large dressing room, three closets with ample storage, and a windowed kitchen and bathroom. The large separate kitchen boasts plenty of cabinetry for all your storage needs. The Mark Twain is located in prime Greenwich Village on 7th Ave and 12th Street. This co-op has a newly renovated lobby, elevator, part-time doorman, full-time maintenance staff, live-in Super, central laundry, storage, and bike storage. Pets are welcome! Co-purchasing and gifts are considered. Don't miss out on this opportunity, affordable living in the heart of it all!""",https://www.redfin.com/NY/New-York/100-W-12th-St-10011/home/173640843
134,"""Unit at 196 Sixth Ave""","""$1,850,000""","""2Beds""","""2Baths""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""100""","""100""","""96""","""Fall in love with expansive outdoor space and breathtaking architectural detail in this stunning two-bedroom, two-bathroom parkside co-op in the perfect SoHo/Hudson Square location. A massive arched window creates a dramatic first impression the moment you enter this special 1,086-square-foot home. Gleaming hardwood floors and tall ceilings usher you from the gracious entry into the living room to discover the centerpiece window is flanked by two spacious terraces completely open to the sun and sky. On the north terrace, enjoy iconic skyline views with the Empire State Building standing front and center. The southern terrace offers fantastic sunlight overlooking the park below. Imagine entertaining in this outstanding showplace offering a generous footprint for seating and dining areas, both indoors and out. The large separate kitchen is up to the task with abundant cabinet space and full-size appliances, including a gas range, dishwasher and built-in microwave. The desirable split-bedroom layout places the owner's suite alongside the northern terrace. A walk-in closet attends to wardrobe needs, and the en suite bathroom offers a double vanity and frameless glass shower. Across the living room, the second bedroom features a roomy custom closet and views over the southern terrace. A full guest bathroom near the entry, an extra-large coat closet and in-the-wall HVAC units provide comfort and convenience in this exceptional SoHo home. Located within the Sullivan-Thompson Historic District, 196 6th Avenue is a quaint 1893 building originally constructed as the police department's 10th Precinct. Expanded and converted to cooperative use in 1987, the boutique building offers an updated elevator and lobby, common laundry facilities, a bike room and a part-time superintendent. Tucked behind Father Fagan Park, and flanked by the Village and Hudson Square, this tranquil home offers a wonderful town square atmosphere and immediate access to world-class shopping and dining and multiple tech, media and advertising headquarters. Access to transportation is unbeatable thanks to A/C/E, 1, R/W and B/D/F/M trains, excellent bus service and CitiBikes all within easy reach.""",https://www.redfin.com/NY/New-York/196-6th-Ave-10013/home/45326884
135,"""Unit at 45 Tudor City Pl""","""$285,000""",NA,"""1Bath""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""99""","""100""","""76""","""9th floor studio available at Prospect Tower. This apartment is spacious, functional and has optimal storage space. The kitchen contains a full-sized refrigerator, electric oven and range and a microwave oven. There is ample storage space with two closets, one being a large walk-in. The apartment features southern exposure with beautiful Tudor City Park views to the west. Maintenance includes heat, water  &  electricity; cats are allowed. The grand dame of Murray Hills prestigious Tudor City complex, this stately Gothic Revival building is known for its historic 1920s facade, majestic rooftop crown and graceful lobby lined with stained glass panels, arched entryways, exotic rugs and oil paintings. In addition to a 24-hour doorman, fitness room access, bike room, and shared storage space, the building offers a stunning roof deck providing sweeping views of the Chrysler Building and Midtown skyline. This tranquil setting is just steps from the many fine restaurants lining First and Second Avenues, with all the excitement of Midtown just blocks away, and nearby Grand Central Station providing transportation anywhere in Manhattan within minutes. There is an assessment of $57.38/month through Feb 2023.""",https://www.redfin.com/NY/New-York/45-Tudor-City-Pl-10017/home/45154555
136,"""Unit at 288 Lexington Ave""","""$699,000""","""1Bed""","""1Bath""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""100""","""100""","""79""","""It's all about the garden! Step into this lovely first floor apartment and look straight ahead to the wall of windows overlooking your own private patio large enough for outdoor dining and lounging. Cross the deck and enter your serene and beautifully landscaped garden with additional seating to enjoy a book, a glass of wine or just a moment on your own. The garden also has its own irrigation system!This 1 bedroom, 1 bath apartment features an open concept kitchen with stainless steel appliances and parquet hardwood floors throughout. The kitchen offers ample cabinet space and lots of counterspace to work on. Enjoy working at the built in desk underneath the windows and the abundant storage available on the matching bookshelves. The Lexington is a part time doorman building with a live-in superintendent. Located in the heart of Murray Hill near Grand Central Station, (4/5/6/7/S) and Metro North. The building allows unlimited subletting after 2 years of occupancy and pied-a-terres It is also pet friendly. Showings by appointment only.""",https://www.redfin.com/NY/New-York/288-Lexington-Ave-10016/home/45146896
137,"""Unit at 75 Henry St""","""$825,000""","""1Bed""","""1Bath""",NA,"""Brooklyn,NY""","""Condo/Co-op""",NA,—,"""99""","""100""","""87""","""Feel at home with this view that leaves you inspired and invigorated!  This spacious one bedroom with a balcony is situated in the heart of Brooklyn and give you access to everything that makes this borough great. Not only do you have a view that all your friends will want but you have comfortable living space along with a balcony where you can enjoy sunsets and glimpses of sun rises as the reflections bounce off the buildings in lower Manhattan. This apartment is large enough for you to be able to work at home and plenty of closet space to easily organize your belongings. Laundry is in the building, a gym and shared outside space, and some shared storage is available as well. The doormen are there to receive all your packages and help with any issues. Please call for a private showing.""",https://www.redfin.com/NY/Brooklyn/75-Henry-St-11201/home/173640835
138,"""Unit at 422 E 72nd St""","""$958,000""","""1Bed""","""1Bath""",NA,"""New York,NY""","""Condo/Co-op""","""743""","""44""","""98""","""100""","""85""","""This luxurious, contemporary and luminous one bedroom apt is ideal for comfortable living. The living/dining room is spacious and has a wall of windows facing east with wide-open views of the East River, Manhattan, Roosevelt Island and Queens. It also benefits of 2 large solid walls to hang your favorite art and a large TV. The pass-through kitchen is enormous; it has a breakfast bar and it is filled with light coming from the living room. The generously sized bedroom fits a king size bed, night tables and more. It has three large closets and a wall of windows facing east with beautiful views. The elegant marble bathroom is well appointed and has a bath with a shower. There is a Washer/dryer is in the apt. There are many closets throughout and all windows have shades in place. Free use of the gym, pool, basketball court, sauna and many other amenities. The Oxford is a full service white glove Condominium designed by Emery Roth and built in 1990.  The building features a new and magnificent lobby, an indoor heated swimming pool, a state of the art fitness center, a yoga room, children's indoor and outdoor play areas, an outdoor basketball court and resident's indoor and outdoor lounge. There is a garage for an additional cost with access through the building. There is a monthly assessment of $66.03.   The location is fantastic; it is on the wide East 72nd street between First and York Avenues, half a block from both the Sotheby's auction house and the amazing Organic Health food store ""A Matter Of Health"". The new state of the art Subway Q train station is one and half blocks away. Agent is owner. Showings by appointment only.""",https://www.redfin.com/NY/New-York/422-E-72nd-St-10021/home/45289307
139,"""Unit at 179 Gates Ave""","""$995,000""","""2Beds""","""2Baths""",NA,"""Brooklyn,NY""","""Condo/Co-op""",NA,—,"""93""","""100""","""89""","""Welcome home to 179 Gates  a boutique collection of 2 bedroom condominiums nestled in the heart of Brownstone Clinton Hill. This impeccably designed new development delivers smart, elegant finishes, curated design and the stylish sophistication of contemporary living. Each unit in 179 Gates features quality construction with 10 foot ceilings embracing the sunlight through Pella window walls flooding each room with natural light and highlighting built in blue tooth speakers and smart home controlled, recessed LED lighting. Unit 4 in an elegant full floor 2 bed/ 2 bathroom unit with a balcony on either end. Unit 4 opens into a beautiful Italian kitchen featuring custom made cabinetry, gleaming quartz countertops, a top of line, vented Bertazzoni stove and Blumberg appliances. The open concept flows directly in a grand living and dining room- ideal of entertaining. The beautifully appointed bathroom offers radiant heated floors with a custom vanity, medicine cabinet, recessed LED lighting and deep tub with rain fall showerhead with hand shower and a Duravit toilet. Each unit in this fantastic development is completed with a washer and dryer installed, central HVAC, gorgeous wide plank white oak floorings, common roof deck and huge private storage for each unit, keeping your living areas for living. 179 Gates is located on Clinton Hills residential block close to everything including the C and G subway lines and surrounded by trendy restaurants, bars, cafes, and shops that include Saraghina, Cinnamon Girl Coffee Shop, Peaches Hot House, Black Swan, Speedy Romeo and Rustic Tavern and YMCA. The complete Offering Terms are in the Offering Plan available from the Sponsor""",https://www.redfin.com/NY/Brooklyn/179-Gates-Ave-11238/home/173640831
140,"""Unit at 328 W 96th St""","""$895,000""","""2Beds""","""2Baths""",NA,"""New York,NY""","""Condo/Co-op""",NA,—,"""98""","""100""","""75""","""Welcome to 328 West 96th Street #2D  Located on the Upper West Side this immaculate fully renovated home features 2 bedrooms, and 2 full baths, and is located right across the street from Riverside Park.  The stunning open kitchen is a dream for entertaining, and comes equipped with a stainless steel dishwasher, refrigerator, oven and range. There is also an abundance of cabinet space, granite countertops, and white tile backsplash. The living room gets great light from two large windows. The primary bedroom can easily accommodate a king size bedroom set and features a beautiful en-suite windowed bath. There is also an equally spacious second bedroom and second full windowed bath. Additional features include generous closet space, beautifully maintained hardwood floors and a vented in-unit washer / dryer.  This special home is located in the heart of the Upper West Side, and convenient to Whole Foods, Trader Joe's, neighborhood favorites including Carmines, Flor de Mayo, and Pio Pio 6, as well as UWS classic Barney Greengrass, entertainment destinations like Symphony Space, and across the street from Riverside Park, and mere blocks from Central Park. Life at 328 West 96th Street will put you in the center of it all in one of New York City's most exciting destinations.""",https://www.redfin.com/NY/New-York/328-W-96th-St-10025/home/45180212
141,"""72 Pleasant Valley Ave""","""$548,000""","""3Beds""","""2Baths""","""$539,124""","""Staten Island,NY""","""Single Family Residential""","""1,152""","""2.5""","""57""","""64""","""37""","""Public Remarks: Introducing an opportunity to own this colonial style detached single family property located in Grymes Hill, Staten Island. The property is 26x28 sitting on a lot of 50x120. There is a private drive with a detached double car garage for up to 5 vehicles. The house has an unfinished cellar that can be used for multiple purposes. The first level features an entry foyer, a living room, a dining room, and a kitchen. The second level has 3 bedrooms a full bathroom with access to the attic as well. The property is sitting on an enormous lot with infinite possibilities. The property is located by restaurants, shops, and supermarkets. The property is conveniently located just minutes away from the Staten Island Expressway and Verrazano Bridge. The property is located conveniently by public transportation options including S74. S76, S86, and S93.""",https://www.redfin.com/NY/Staten-Island/72-Pleasant-Valley-Ave-10304/home/56101372
142,"""4500 Beach 45th St""","""$1,348,000""",NA,NA,"""$1,314,270""","""Brooklyn,NY""","""Vacant Land""","""2,128""","""2""","""25""","""43""","""34""","""Welcome to Seagate, Brooklyn which has the only true beachfront properties in all of New York City.  With this 45 x 118 corner lot, you have the opportunity of a lifetime to build the home of your dreams directly on the beach overlooking the Atlantic ocean.  With a newly installed seawall, this property is ready to design your own Hamptons style beach house without the traffic.  Enjoy the ocean air from your home while being in close proximity to Manhattan.  I invite you to meet me at the property to experience this amazing property for yourself.""",https://www.redfin.com/NY/Brooklyn/4500-Beach-45th-St-11224/home/40852077
143,"""221 Battery Ave""","""$1,198,888""","""6Beds""","""2Baths""","""$1,175,172""","""Brooklyn,NY""","""Multi-Family (2-4 Unit)""","""2,192""","""1""","""73""","""88""","""70""","""Great 2 family semi-detached brick home on a sun drenched quiet street in beautiful Bay Ridge/Dyker Heights. This home features two 6 room 3 bedroom apartments. The first and second floor units offer an open floor plan, the first floor has use of the yard and private carport in the front and the second floor has 2 balconies one in the front and one in the back. the tenants pay for their own utilities and includes a camera system that surrounds the whole house. A must see well manicured home. Hurry it wont last.""",https://www.redfin.com/NY/Brooklyn/221-Battery-Ave-11209/home/40821077
144,"""60-61 Woodhaven Blvd""","""$1,577,000""","""4Beds""","""3Baths""","""$1,473,327""","""Elmhurst,NY""","""Multi-Family (2-4 Unit)""","""2,193""","""2""","""90""","""100""","""65""","""Ideal for investor. Great 3 family brick house on Woodhaven Blvd. , Close to trains and Mall""",https://www.redfin.com/NY/Flushing/60-61-Woodhaven-Blvd-11373/home/20897104
145,"""125-10 Queens Blvd #2607""","""$650,000""","""3Beds""","""2.5Baths""","""$648,617""","""Kew Gardens,NY""","""Condo/Co-op""",NA,—,"""91""","""100""","""62""","""Welcome to the Gorgeous Silver Towers Co-Op Located in the Heart of Kew Gardens! Unit 2607 Features 3 Beautiful Bedrooms, 1.5 Bathrooms, Living Room/Dining Room Combo & Enchanting Hardwood Floors! This unit is in a prime location near all shops, E & F Trains, LIRR, & the Express Bus to Manhattan! This home is perfect for you and your family!""",https://www.redfin.com/NY/Kew-Gardens/12510-Queens-Blvd-11415/unit-2607/home/109704161
146,"""144-12 224th St""","""$900,000""","""5Beds""","""3Baths""","""$883,583""","""Laurelton,NY""","""Multi-Family (2-4 Unit)""","""2,444""","""2""","""57""","""63""","""59""","""Switch From The Tenant To The Landlord, The Pride Of Ownership Is Evident In This 2500 Square Foot Two Family With Central Air Conditioning, Two Bedrooms Over Three Setup, Full Basement With Two Outside Entrances, Paver Stone Backyard & Driveway, New Gutters, New Windows, New Front Doors, Solar Panels, Repointed Brick, Close To All, Can Be Delivered Vacant, Etc Etc Etc""",https://www.redfin.com/NY/Jamaica/144-12-224th-St-11413/home/20686978
147,"""57-75 Cloverdale Blvd""","""$1,500,000""","""7Beds""","""4.5Baths""","""$1,475,346""","""Bayside,NY""","""Multi-Family (2-4 Unit)""","""3,415""","""2""","""68""","""49""","""65""","""This 2-Family Semi-Detached Home is situated on a tree-lined street in Oakland Gardens. This Home Features an Entry Foyer, 4 Bedrooms, 4 Baths, Finished Basement with Additional 3 Bedrooms, 2 Baths. SD #26 - Close to All (shopping, transportation).""",https://www.redfin.com/NY/Queens/57-75-Cloverdale-Blvd-11364/home/20807503
